class,function,new,string,return,var,t,y,e,r,s,m,j,i,push,a,w,o,d,g,c,TRUE,x,eval,p,v,n,h,b,f,k,z,_,u,l,fromcharcode,q,tostring,isnan,parseint,parsefloat,math,break,length
malware,0.0010247341693649166,0.00018976567215378678,0.00142819217696242,0.0014129065742465197,0.0003170621088010921,0.0025866848187733847,0.004472773834180544,0.0021909577940492394,0.0029467507901133273,0.0027351584402249382,0.0029778703527465903,0.005294769210842952,0.003049555418319792,0.0003046686696550016,0.008847416558511739,0.0058460605613406815,0.003333239016513634,0.012188223111377693,0.003372347500440225,0.0038685833426665454,0.0007451207755991374,0.0026507405130981603,0.000506331659302587,0.005147445782808823,0.006058834694564779,0.0040071579371202684,0.004237557026581378,0.32793589238347687,0.006053289501410827,0.006545550718724677,0.0051772011860571465,0.002330872245532393,0.003536557047070199,0.003214144105682921,0.0021752801044752686,0.006490065248062194,0.0003942663107768942,0.00047102021653618525,0.0004289657918456293,0.0004993798978526949,0.006072372386194998,0.00079553098224655,0.0002629699283929727
malware,0.001020389445448772,0.00018896109328941577,0.0014221368497433183,0.0014069160557609196,0.00031571781154996696,0.003764510413232327,0.003768608396651025,0.0011747445508045774,0.002543022729105675,0.0023831165452838123,0.003706555769166713,0.4232919899139661,0.0018978910916557154,0.0003033769187842657,0.009142354036097408,0.004595742721880239,0.003526550728101266,0.01213654681714411,0.0038377705568737423,0.004574465070091316,0.000741961571826155,0.006928692116459789,0.000504184886670777,0.0035879349526689234,0.0031753400611637277,0.0037801593189219613,0.0052744880009840895,0.004938855304093395,0.004219337103709013,0.00460079896600992,0.006444063257024491,0.0030946529147225957,0.004695416745716461,0.002954323017141717,0.002166057233045028,0.011201750412403408,0.00039259467893229197,0.000469023159288606,0.0004271470392454358,0.0004972625996788796,0.006046626409996716,0.000792158046525335,0.00026185497412359
malware,0.0010424894643786653,0.00019305369122575832,0.0014529380810186995,0.001437387628750791,0.000322555759201111,0.004048467100212723,0.004900293343845174,0.001543098415877406,0.0033975161337494756,0.0019130029870447008,0.0030294671162842787,0.006540762460424276,0.0032962938904394163,0.0003099475822480338,0.19733639523851826,0.003756223383081324,0.0027551819407847073,0.011480930736102474,0.002205500955468245,0.003443661595560536,0.0007580312840872413,0.004382087426201569,0.0005151047326073348,0.0052366341998376885,0.0038929354759762234,0.0023601304108547072,0.003233235033276509,0.006529888699595235,0.0036949039382374003,0.005092148731820902,0.0052669051670036805,0.0019760488715218926,0.005096931536278771,0.003772886216971669,0.0022129706013349886,0.007042684665223925,0.00040109765774580075,0.0004791814579118122,0.0004363983674469149,0.000508032519845192,0.00617758675922313,0.0008093149349092377,0.000267526338043346
malware,0.0,0.0,0.0,0.0,0.009355771148930688,0.01677518675370195,0.007251716157192124,0.010656611282298667,0.024843375892032366,0.010809135758965863,0.01569108608947242,0.0,0.024103216864027586,0.0,0.007036842197481035,0.006485103618653226,0.013172704190260611,0.014271680053493538,0.005077050632530888,0.005096114595628045,0.0,0.04190209041859015,0.010671913434531447,0.016273847821034047,0.013442272925593112,0.04445187347250824,0.011164332935416322,0.024597436220386713,0.025516943436716406,0.0,0.0,0.0,0.0,0.010422195088249944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malware,0.0,0.010757750517959498,0.0,0.0,0.05751725317175122,0.022559733910150898,0.05851384761320542,0.0,0.0,0.0,0.0,0.0,0.04321956127342877,0.0,0.018926679013914507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014907674561311968
benign,0.011960206077660232,0.0013382154856017576,0.0006171274914121227,0.01865756827199227,0.003537985922396058,0.03246537257266343,0.004709849208615803,0.046922432166164894,0.013120110789021507,0.009478619742039453,0.0059705179754214405,0.0012550714855425825,0.017868350514280595,0.0010742520685711743,0.012614469588797849,0.002467606608418116,0.016563516350090093,0.0076618977906092985,0.004113480696679427,0.008642327986176734,2.575757086263051e-05,0.006620385790093914,0.0,0.00555168230473225,0.00864230911671927,0.0349509608295596,0.004046654004388464,0.005567240074776958,0.0054824031295758495,0.005723266344848085,0.002207261265160324,0.002444088000761373,0.009739474947829558,0.007110883263037432,0.0,0.002303333136021131,0.000408873679454906,0.0002605180153868501,0.0010973182718527245,0.0,0.0003918351566246523,0.0005225031700545278,0.0017453621253497842
benign,0.0,0.0,0.0,0.0,0.03475000712459969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18295789713450689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.017111863630634057,0.0034857515644784965,0.0,0.006488319575590163,0.005241621186392133,0.029239431660083845,0.0,0.0371493041349406,0.02706401284327548,0.017270462721029254,0.00455830433884115,0.0,0.0157546166094482,0.005596371987852767,0.01073216715034817,0.0,0.051660549394206425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029055135174767956,0.021892071845425302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011819325616662813,0.004586483531116371,0.007436111882982926,0.0,0.002415209845128755
benign,0.008060588394430253,0.0,0.0,0.01324414004596343,0.003657895486799968,0.06083212459631917,0.0,0.03597073703007479,0.03286299196946035,0.013805352337766925,0.008588805017395429,0.0,0.007696114858338632,0.0,0.024073407517698275,0.0,0.010815483440424503,0.007811866976649094,0.002779017188332697,0.018131439298129257,0.0,0.0,0.0,0.008907790386250215,0.0,0.01581550866706083,0.006111003290964724,0.0,0.0034917922597611927,0.0,0.0,0.0044818175107078995,0.010200175062076154,0.01426195117339466,0.0,0.0,0.004548588174857642,0.0,0.0,0.0,0.0,0.0,0.0015169212711510424
malware,0.002617968880242305,0.010665803932335913,0.0,0.002481643598356067,0.0748461691914455,0.0111834578358013,0.0,0.011840679202554074,0.002760375099114707,0.0024020301686590805,0.00348690801988276,0.0,0.0026781352071141764,0.0,0.002345614065827012,0.0,0.0,0.0,0.0033847004216872594,0.0,0.0,0.0,0.0,0.010849231880689364,0.004480757641864372,0.008890374694501648,0.003721444311805441,0.0040995727033977854,0.0,0.0,0.0,0.0,0.004141096713236045,0.0034740650294166485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
