class,t,i,1,r,e,2,0,a,s,function,return,var,new
benign,0.036192237787701205,0.0,0.0,0.07176975257698238,0.041047687902187456,0.0,0.011172065906265457,0.040657310474334865,0.04163518959009072,0.01134453181438332,0.010753788926209621,0.003861111902733299,0.0
benign,0.06065892914928494,0.008526308006322682,0.003872901128873454,0.01730163678195111,0.09848303691838599,0.004817001196526023,0.0060277855591202665,0.01913590250641526,0.0033456848777751475,0.012632367696373261,0.02987468403225071,0.0021275514566081446,0.005040408618533745
malware,0.010489614680842215,0.01009066875494036,0.04456282969179569,0.0071161534334804565,0.007513814056671602,0.07361030980996378,0.04064549062338781,0.02558309578575732,0.009050361126998535,0.0028553609736202087,0.003936980352646235,0.000883474757405077,0.0005287707881708906
malware,0.022008793249277764,0.03810914017690848,0.011190495645098728,0.008728753691795155,0.026209503424031857,0.012758543709717575,0.006114441475726366,0.03708606022996762,0.026584631190970095,0.010348052668525325,0.03138943794677403,0.011270272580951254,0.012647625608952384
benign,0.06376727610214022,0.02044734975590347,0.004016341911424322,0.037593679921276484,0.05473025053624994,0.0011100908107220463,0.004522026676345542,0.02129668643893731,0.003965256151437212,0.014315718718150378,0.028676770469892324,0.007722223805466598,0.004401760353027519
malware,0.007560467468223851,0.00787900125729335,0.04524899641407908,0.008745637161218357,0.006431069091058383,0.07791678015373622,0.03879969890657569,0.02547962977501837,0.010328265115917092,0.003258535733918613,0.004492878932420267,0.0010082207096112098,0.0006034328143536276
benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,0.024476831336190993,0.007244897554505401,0.022138422742977105,0.007467373100495276,0.024023574567031677,0.0027287058801130073,0.02615425833547694,0.013483891262803256,0.004873483174562643,0.027885908405008708,0.019300875500509174,0.016270234549668066,0.009918272876384623
malware,0.0,0.0,0.0009064105491870685,0.0,0.12179517553114028,0.002204628685391945,0.0002641381606560135,0.14466810955556894,0.0,0.0012069707665915703,0.0015254937005656382,0.0006390106388936897,0.00027318280649809586
benign,0.06999835016373539,0.021721335551505686,0.005709958655489534,0.02529407430423295,0.0632197963121854,0.0019495355875025675,0.00976567088399443,0.013033726300290094,0.004849762681235125,0.01752880756452502,0.01734405337877614,0.006211948176255875,0.003819160102762317
malware,0.0029380349376666648,0.003203133449759529,0.014191674874030797,0.21886969344207227,0.0023325354821146812,0.030468087744553052,0.011336657376321684,0.00858130846451686,0.0021969259690501875,0.0010130264428357925,0.0013967639254728072,0.00031343963131027987,0.00018759757367457934
malware,0.041582571075231174,0.04000108330625854,0.026428617374594864,0.03435786027621497,0.02358058666721407,0.020087919883385118,0.016044988269636563,0.0,0.03587713145529094,0.0,0.0,0.013308513366867968,0.0
benign,0.13029205603572436,0.00817413441475718,0.0,0.0,0.03373049136310187,0.0,0.00524601355598552,0.026250480893211862,0.019550436850999126,0.015980992642870413,0.02524802617457911,0.004532609624947786,0.005425648087318703
benign,0.0696248174440902,0.024283990990507792,0.010351208471716323,0.013322260322102356,0.04952660093448305,0.001573553724198501,0.006787030038056266,0.020582763427632027,0.030562831358475973,0.012634972308269422,0.01596937655542129,0.006515626335862443,0.0015598738251041272
benign,0.059016551609853495,0.016541108525671554,0.011238947416418055,0.03313001734278021,0.055091397276882566,0.0030396708077772873,0.01230694687259717,0.01238507663366812,0.007394492872245089,0.015582909354028444,0.02224180823705637,0.0060761877570074405,0.0034288650277059913
malware,0.009351104500171604,0.01049470207955268,0.050187677438624595,0.01081697227834902,0.008396117979992889,0.07478772086302285,0.03704421853130126,0.024948804154705486,0.004930482977773902,0.0026868627981434176,0.0037046545583114487,0.000831339883363629,0.0004975674083266754
malware,0.0017244536828257635,0.002211824606346061,0.017414386017122755,0.2135361226672805,0.0017928181333749522,0.030545454646206196,0.012686866607085569,0.009040272564293282,0.0019837943275278526,0.0009909782202564253,0.0013663637694478106,0.0003066177099229385,0.00018351456765930906
malware,0.0,0.0,0.000582838314848892,0.0,0.0,0.0014176159677463972,0.0001698455965479546,0.0,0.27502433934467874,0.0007761039501393994,0.0009809199358366885,0.00041089535451384774,0.00017566146679100531
benign,0.0581588260320033,0.02241491404344741,0.008250710853375155,0.034313263274750726,0.06441611827273233,0.003812658415441779,0.010158303375710385,0.013127477595944981,0.008241569786894793,0.013363270553431436,0.019262832334530577,0.005538016134707369,0.0024896789093532532
malware,0.0,0.0,0.0009291928610158279,0.14553668857397056,0.0,0.00226004125558133,0.0002707771808520354,0.0,0.14480748839031105,0.0012373075542617355,0.001563836450669622,0.0006550719475911971,0.0002800491607009205
benign,0.0623808605830464,0.01377500670703143,0.004812082766032853,0.04014609201754396,0.06762290272011454,0.001113175954460789,0.009374035087091356,0.01178733293817566,0.009230641451567614,0.01617412658629739,0.018046151098505384,0.004793709926738614,0.005517492054436023
benign,0.09638953125091852,0.02584537114416563,0.00897808898057028,0.009062762123879154,0.05630967900357476,0.0021408894206782327,0.009105803716968912,0.008401127929645725,0.006213414773010989,0.016018363161380528,0.014320096478268936,0.006382654369824434,0.0037139852978669693
malware,0.0077983274791179405,0.006924681088007924,0.047276237587212666,0.007732100415752246,0.010205226274024507,0.09099371443799802,0.030553439909400012,0.02931369622597072,0.005693209626269312,0.003102510081834112,0.00427775029108891,0.0009599449481933618,0.0005745391621009677
malware,0.22047321832184172,0.002442112500012387,0.01613497723409019,0.0027107280649579677,0.002159433221472991,0.022263709766837305,0.013744052301952471,0.009542768016008453,0.0026958036425238597,0.0010099897928272919,0.0013925769832501668,0.0003125000640701411,0.00018703523082783298
malware,0.21863812613604755,0.0031669506105529706,0.01895465047139493,0.0030721891709528724,0.002635642267203475,0.02394945026128515,0.011656941537155695,0.00913701745499321,0.0018379386605613772,0.0010015832190463274,0.0013809859738770976,0.0003098989933822803,0.00018547845720619824
benign,0.0,0.0,0.05646113711845266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22689073819696395
benign,0.04757569863714886,0.025312303312581413,0.004828316134038362,0.022218232198424774,0.06223738685573361,0.0014351630057836489,0.01817735153152963,0.023957353305560838,0.009593724142029376,0.014147776711579145,0.01849931924335448,0.004944235541376269,0.0019917607147909373
malware,0.00939041845302518,0.013549916507345237,0.05371437909647389,0.008728753691795155,0.006489972276426936,0.07371603032281265,0.03261035453720729,0.02818540577477539,0.005570113201917543,0.0030354287827674283,0.004185258392903205,0.0009391893817459377,0.000562116693731217
benign,0.08143253502232772,0.019583863702022412,0.0,0.04037048582455259,0.06060947666807367,0.0,0.00942643060841148,0.042880757140900054,0.0,0.009571948718385926,0.009073509406489369,0.0032578131679312215,0.0
