,0
class,malware
fileread,2.0
fileread2,2.0
safq,2.0
cmd_exec,1.0
code_eval,2.0
error,20.0
do_footer,20.0
notice,3.0
do_header,2.0
strrchr,2.0
fileatime,2.0
wsopermscolor,4.0
mysql_list_tables,1.0
mysql_tablename,4.0
decrypt,7.0
magicqouts,2.0
curl,2.0
registerglobals,2.0
openbasedir,2.0
gzip,2.0
hardsize,3.0
mysql2,2.0
mssql,2.0
postgresql,2.0
oracle,2.0
op_sa,5.0
cmd,9.0
asort,5.0
cleandir,7.0
sa,1.0
backup_tables,1.0
ereg_replace,6.0
array_keys,19.0
wsoperms,4.0
perm,4.0
sa_download,1.0
findit,1.0
msql,1.0
dbconn,10.0
array_flip,5.0
goaction,10.0
ue,6.0
phpzip,2.0
getlist,3.0
getfilelist,2.0
mysql_escape_string,17.0
lambda_n,2.0
strips,3.0
imaplogin,2.0
name,6.0
pop3login,2.0
getdisabledfunctions,2.0
flusher,28.0
srand,1.0
range,10.0
sendloginalert,2.0
ini_alter,4.0
cyb3r_getupdate,1.0
cyb3r_buff_prepare,3.0
cyb3r_sess_put,1.0
serialize,4.0
str2mini,2.0
ceil,3.0
fs_copy_dir,4.0
fs_copy_obj,1.0
fs_move_dir,2.0
fs_move_obj,1.0
fs_rmdir,2.0
fs_rmobj,4.0
myshellexec,11.0
tabsort,1.0
strnatcmp,1.0
view_perms,9.0
posix_kill,1.0
parse_perms,3.0
parsesort,3.0
view_perms_color,9.0
cyb3rgetsource,4.0
mysql_dump,2.0
mysql_smarterror,10.0
array_values,12.0
mysql_buildwhere,2.0
mysql_fetch_all,1.0
mysql_query_form,1.0
mysql_create_db,1.0
mysql_query_parse,1.0
cyb3rfsearch,1.0
ereg,10.0
onphpshutdown,2.0
cyb3rexit,4.0
confirm,11.0
mysql_list_dbs,1.0
table,95.0
abs,3.0
mysql_drop_db,2.0
passwords,1.0
displaysecinfo,24.0
set_encoder_input,1.0
curl_version,1.0
array_slice,3.0
convert_cyr_string,3.0
usort,4.0
array_reverse,3.0
filemtime,5.0
readlink,1.0
ls_setcheckboxall,1.0
ls_reverse_all,1.0
rsg_glob,2.0
rsg_read,2.0
highlight_file,2.0
check,2.0
brute,2.0
getmicrotimev,1.0
smtplogin,1.0
ftp_close,6.0
natsort,1.0
encode,16.0
slice,30.0
decode,3.0
apply,31.0
kk,1.0
ext,1.0
extractfilename,4.0
untag,6.0
fsize,2.0
tourl,2.0
unbug,2.0
countbyte,2.0
downloadfile,2.0
anonim_mail,2.0
updir,9.0
deletedir,3.0
setsockopt,1.0
bind,3.0
sockaddr_in,1.0
listen,2.0
accept,1.0
unless,1.0
get_self,5.0
setattribute,12.0
get_server_info,5.0
html_safe,66.0
get_post,24.0
fix_magic_quote,2.0
get_nav,5.0
parse_dir,2.0
get_cwd,7.0
rawurldecode,2.0
wrap_with_quotes,1.0
get_resource,8.0
block_bot,2.0
is_win,1.0
clean,1.0
get_drives,2.0
read_file,5.0
array_map,37.0
decompress,1.0
get_fileperms,2.0
format_bit,6.0
log,4.0
get_filesize,3.0
get_filemtime,1.0
get_fileowner,2.0
copys,2.0
get_all_files,2.0
write_file,14.0
view_file,3.0
hide_box,18.0
sys_get_temp_dir,1.0
show_all_files,4.0
natcasesort,2.0
folder,1.0
eval_get_supported,2.0
eval_go,6.0
output,41.0
html,70.0
children,10.0
decode_line,17.0
rawurlencode,4.0
hash_algos,1.0
hash,2.0
sql_get_supported,2.0
info_getinfo,1.0
send_email,1.0
stream_set_timeout,2.0
show_processes,5.0
format,6.0
child,10.0
scaley,4.0
call,61.0
getprototypeof,1.0
tolowercase,44.0
regexp,26.0
createelement,30.0
appendchild,20.0
getcomputedstyle,5.0
getpropertyvalue,4.0
removechild,12.0
map,13.0
filter,11.0
removeattribute,6.0
test,82.0
number,5.0
parsejson,2.0
qsa,5.0
touppercase,6.0
attr,33.0
fragment,3.0
ready,4.0
isz,1.0
getelementsbyclassname,2.0
queryselectorall,11.0
contains,15.0
push,55.0
addeventlistener,5.0
get,27.0
not,33.0
matches,3.0
size,4.0
pluck,4.0
before,2.0
wrapall,3.0
clonenode,7.0
first,1.0
append,24.0
contents,1.0
parent,12.0
replacewith,1.0
show,25.0
hide,28.0
val,87.0
getattribute,21.0
offset,5.0
offsetparent,2.0
getboundingclientrect,2.0
removeproperty,2.0
hasclass,17.0
addclass,6.0
removeclass,13.0
scrollto,3.0
parsefloat,7.0
insertbefore,5.0
isimmediatepropagationstopped,2.0
stoppropagation,4.0
removeeventlistener,4.0
getpreventdefault,1.0
proxy,2.0
typeerror,1.0
on,60.0
off,30.0
delegate,1.0
undelegate,1.0
closest,1.0
extend,45.0
isplainobject,4.0
event,4.0
dispatchevent,1.0
triggerhandler,2.0
trigger,9.0
createevent,1.0
initevent,1.0
triggerandreturn,2.0
isdefaultprevented,2.0
triggerglobal,3.0
ajaxstart,2.0
ajaxstop,1.0
ajaxbeforesend,1.0
ajaxsuccess,3.0
resolvewith,7.0
ajaxerror,2.0
rejectwith,2.0
ajaxcomplete,1.0
mimetodatatype,2.0
appendquery,4.0
serializedata,1.0
type,8.0
param,2.0
parsearguments,2.0
isfunction,30.0
isarray,12.0
promise,11.0
ajax,7.0
deferred,6.0
now,4.0
ajaxjsonp,1.0
xhr,2.0
setheader,1.0
overridemimetype,1.0
getresponseheader,3.0
abort,4.0
send,4.0
serializearray,1.0
encodeuricomponent,14.0
eq,4.0
reverse,2.0
parseint,12.0
isnan,2.0
setinterval,3.0
zepto,7.0
togmtstring,2.0
show_tab,6.0
xpl_bind,5.0
eval_init,2.0
window_resize,3.0
xpl_update_status,3.0
cleartimeout,3.0
clear,1.0
scrolltop,9.0
start_scroll,3.0
height,10.0
setitem,8.0
getitem,10.0
info_refresh,3.0
refresh_tab,4.0
width,3.0
layout_portable,2.0
layout_normal,2.0
prependto,1.0
prepend,1.0
insertafter,1.0
decodeuricomponent,1.0
fix_tabchar,6.0
get_cookie,1.0
set_cookie,1.0
ucfirst,1.0
gettime,5.0
send_post,26.0
loading_start,3.0
loading_stop,5.0
loading_loop,2.0
trap_enter,1.0
show_box,12.0
drag_start,2.0
drag_stop,2.0
drag_loop,1.0
get_all_cbox_selected,3.0
cbox_bind,5.0
action,4.0
navigate,11.0
view,7.0
view_entry,1.0
ren,2.0
ren_go,1.0
newfolder,2.0
newfolder_go,1.0
newfile,2.0
newfile_go,1.0
viewfileorfolder,1.0
viewfileorfolder_go,1.0
del,2.0
delete_go,1.0
find_go_file,1.0
find_go,3.0
find_go_folder,1.0
ul_go_comp,1.0
ul_go,3.0
ul_go_url,1.0
ul,2.0
ul_add_comp,2.0
ul_add_url,2.0
formdata,2.0
ul_start,3.0
lastindexof,1.0
trap_ctrl_enter,1.0
edit_save_raw,1.0
edit_save,3.0
edit_save_hex,1.0
mass_act,2.0
mass_act_go_tar,1.0
mass_act_go,11.0
mass_act_go_targz,1.0
mass_act_go_zip,1.0
mass_act_go_untar,1.0
mass_act_go_untargz,1.0
mass_act_go_unzip,1.0
mass_act_go_paste,1.0
mass_act_go_chmod,1.0
mass_act_go_chown,1.0
mass_act_go_touch,1.0
operation,1.0
item,2.0
xpl_href,7.0
multimedia,1.0
eval_bind,3.0
decode_go,2.0
db_init,2.0
db_bind,3.0
db_add_supported,3.0
db_run,2.0
db_nav_bind,2.0
db_query_tbl,3.0
db_connect,2.0
db_disconnect,1.0
db_pagination,1.0
info_init,2.0
info_toggle,1.0
mail_send,1.0
mail_attach,1.0
rs_init,2.0
packet_go,2.0
rs_go_bind,1.0
rs_go,3.0
rs_go_back,1.0
packet_send,2.0
ps_bind,2.0
kill_pid,3.0
ps_get_pid,1.0
ps_update_status,1.0
kill_selected,1.0
kill_pid_go,1.0
process,3.0
getmd5,2.0
adds,3.0
adds2,9.0
showorhide,2.0
dodiv,3.0
cwd,4.0
mysql_field_type,2.0
mysql_field_len,2.0
fastcmd,4.0
substr_count,2.0
do_chmod,1.0
deldir,3.0
bzero,1.0
htonl,1.0
htons,2.0
setpgrp,1.0
signal,2.0
getpid,1.0
fork,2.0
dup2,6.0
execl,2.0
main,9.0
fprintf,2.0
inet_addr,1.0
setsid,1.0
my,2.0
gensym,1.0
vec,4.0
fileno,6.0
sysread,2.0
length,2.0
syswrite,2.0
eval_sl,1.0
aishen,2.0
call_user_func_array,4.0
validate,2.0
btoa,1.0
get_phpini,2.0
disp_drives,2.0
disp_freespace,2.0
cfb,3.0
bberr,2.0
c99sh_getupdate,3.0
c99getsource,4.0
ltrim,3.0
c99_buff_prepare,3.0
c99_sess_put,8.0
c99fsearch,3.0
c99shexit,5.0
showstat,17.0
testperl,2.0
testfetch,2.0
testwget,2.0
testoracle,2.0
testpostgresql,2.0
testmssql,3.0
testcurl,2.0
testmysql,2.0
showdisablefunctions,2.0
c99ftpbrutecheck,1.0
recurse_dir,3.0
set_arg,1.0
xo,1.0
root_gp,4.0
root_css,4.0
packdir,1.0
file_up,3.0
file_down,1.0
file_deltree,3.0
file_edit,4.0
file_soup,2.0
file_a,2.0
inputok,1.0
tihuan_auto,3.0
tihuan_d,2.0
fulllll,3.0
showth,1.0
autoup,2.0
antivirus_auto,3.0
antivirus_e,2.0
createtextfile,2.0
findfile_auto,3.0
findfile_j,2.0
info_f,2.0
exec_run,8.0
exec_g,2.0
sfull,2.0
port_i,2.0
servu_l,2.0
backconn,2.0
socket_create,1.0
socket_connect,1.0
socket_write,4.0
socket_read,2.0
stream_get_contents,3.0
chop,3.0
phpcode,2.0
otherdb,2.0
msfull,2.0
object_id,2.0
mssql_get_last_message,2.0
mssql_data_seek,1.0
mssql_free_result,1.0
orafull,2.0
ociresult,1.0
ora_fetch_row,1.0
ora_num_fields,1.0
oci_free_statement,1.0
ocilogoff,1.0
ifxfull,2.0
ifx_connect,1.0
ifx_query,1.0
ifx_fetch_row,2.0
ifx_num_fields,2.0
ifx_fieldproperties,1.0
mysql_data_seek,2.0
ifx_free_result,1.0
ifx_close,1.0
db2full,2.0
db2_connect,1.0
db2_exec,1.0
db2_fetch_row,2.0
db2_num_fields,2.0
db2_field_name,1.0
db2_free_result,1.0
db2_close,1.0
fbfull,2.0
ibase_connect,1.0
ibase_query,3.0
ibase_num_fields,2.0
ibase_field_info,2.0
ibase_fetch_row,1.0
ibase_free_result,1.0
ibase_close,1.0
mysql_n,2.0
extract,10.0
mysql_msg,2.0
pgr_sql,2.0
pgfull,2.0
pg_file_read,2.0
pg_last_error,2.0
pg_result_seek,1.0
pg_free_result,1.0
mysql_o,2.0
zipact,2.0
key_exists,1.0
regread,2.0
root_login,2.0
winmain,2.0
switchtab,1.0
filter_input_array,1.0
cookie,5.0
setdate,1.0
verifyversion,2.0
selectvalue,6.0
trcheck,4.0
formcheck,1.0
tablecheck,1.0
formuncheck,4.0
formchecked,4.0
tableclick,1.0
click,3.0
onclick,1.0
sethtml,3.0
nodeposition,3.0
pageclick,1.0
selectaddrow,1.0
bodykeydown,1.0
blur,2.0
editingkeydown,4.0
functionchange,1.0
xmlhttprequest,2.0
setrequestheader,6.0
ajaxsethtml,1.0
replacefavicon,2.0
ajaxsend,4.0
pushstate,1.0
highlight_tag,2.0
ajaxform,1.0
onsubmit,1.0
selectdblclick,1.0
movetopoint,1.0
duplicate,1.0
movetoelementtext,1.0
setendpoint,1.0
bodyclick,2.0
eventstop,1.0
bodyload,1.0
style,17.0
onload,1.0
formfield,3.0
typepassword,1.0
logindriver,1.0
textareakeydown,2.0
delimiterequal,3.0
idfescape,1.0
editingnamechange,1.0
onchange,7.0
editingaddrow,2.0
editingremoverow,1.0
editingtypechange,1.0
editinglengthfocus,1.0
editinglengthblur,1.0
columnshow,1.0
partitionbychange,1.0
partitionnamechange,1.0
foreignaddrow,1.0
indexesaddrow,1.0
indexeschangecolumn,1.0
indexesaddcolumn,1.0
